Designator,Mid X,Mid Y,Rotation,Layer
L_D1,13.789982,-10.678328,0.0,top
L_D10,64.789982,-27.678328,0.0,top
L_D11,81.789982,-27.678328,0.0,top
L_D12,98.789982,-27.678328,0.0,top
L_D13,13.789982,-44.678328,0.0,top
L_D14,30.789982,-44.678328,0.0,top
L_D15,47.789982,-44.678328,0.0,top
L_D16,64.789982,-44.678328,0.0,top
L_D17,81.789982,-44.678328,0.0,top
L_D18,98.789982,-44.678328,0.0,top
L_D19,13.789982,-61.678328,0.0,top
L_D2,30.789982,-10.678328,0.0,top
L_D20,30.789982,-61.678328,0.0,top
L_D21,47.789982,-61.678328,0.0,top
L_D22,64.789982,-61.678328,0.0,top
L_D23,81.789982,-61.678328,0.0,top
L_D24,98.789982,-61.678328,0.0,top
L_D25,13.789982,-78.678328,0.0,top
L_D26,30.789982,-78.678328,0.0,top
L_D27,47.789982,-78.678328,0.0,top
L_D28,64.789982,-78.678328,0.0,top
L_D29,81.789982,-78.678328,0.0,top
L_D3,47.789982,-10.678328,0.0,top
L_D30,98.789982,-78.678328,0.0,top
L_D4,64.789982,-10.678328,0.0,top
L_D5,81.789982,-10.678328,0.0,top
L_D6,98.789982,-10.678328,0.0,top
L_D7,13.789982,-27.678328,0.0,top
L_D8,30.789982,-27.678328,0.0,top
L_D9,47.789982,-27.678328,0.0,top
L_J1,112.25,-38.375,0.0,top
L_RSW1,132.6,-38.3,90.0,top
L_S1,13.0,-13.0,0.0,top
L_S10,64.0,-30.0,0.0,top
L_S11,81.0,-30.0,0.0,top
L_S12,98.0,-30.0,0.0,top
L_S13,13.0,-47.0,0.0,top
L_S14,30.0,-47.0,0.0,top
L_S15,47.0,-47.0,0.0,top
L_S16,64.0,-47.0,0.0,top
L_S17,81.0,-47.0,0.0,top
L_S18,98.0,-47.0,0.0,top
L_S19,13.0,-64.0,0.0,top
L_S2,30.0,-13.0,0.0,top
L_S20,30.0,-64.0,0.0,top
L_S21,47.0,-64.0,0.0,top
L_S22,64.0,-64.0,0.0,top
L_S23,81.0,-64.0,0.0,top
L_S24,98.0,-64.0,0.0,top
L_S25,13.0,-81.0,0.0,top
L_S26,30.0,-81.0,0.0,top
L_S27,47.0,-81.0,0.0,top
L_S28,64.0,-81.0,0.0,top
L_S29,81.0,-81.0,0.0,top
L_S3,47.0,-13.0,0.0,top
L_S30,98.0,-81.0,0.0,top
L_S4,64.0,-13.0,0.0,top
L_S5,81.0,-13.0,0.0,top
L_S6,98.0,-13.0,0.0,top
L_S7,13.0,-30.0,0.0,top
L_S8,30.0,-30.0,0.0,top
L_S9,47.0,-30.0,0.0,top
L_SW1,122.0,-89.0,0.0,top
L_U1,122.0,-17.65,0.0,top
R_D1,182.789982,-10.678328,0.0,top
R_D10,233.789982,-27.678328,0.0,top
R_D11,250.789982,-27.678328,0.0,top
R_D12,267.789982,-27.678328,0.0,top
R_D13,182.789982,-44.678328,0.0,top
R_D14,199.789982,-44.678328,0.0,top
R_D15,216.789982,-44.678328,0.0,top
R_D16,233.789982,-44.678328,0.0,top
R_D17,250.789982,-44.678328,0.0,top
R_D18,267.789982,-44.678328,0.0,top
R_D19,182.789982,-61.678328,0.0,top
R_D2,199.789982,-10.678328,0.0,top
R_D20,199.789982,-61.678328,0.0,top
R_D21,216.789982,-61.678328,0.0,top
R_D22,233.789982,-61.678328,0.0,top
R_D23,250.789982,-61.678328,0.0,top
R_D24,267.789982,-61.678328,0.0,top
R_D25,182.789982,-78.678328,0.0,top
R_D26,199.789982,-78.678328,0.0,top
R_D27,216.789982,-78.678328,0.0,top
R_D28,233.789982,-78.678328,0.0,top
R_D29,250.789982,-78.678328,0.0,top
R_D3,216.789982,-10.678328,0.0,top
R_D30,267.789982,-78.678328,0.0,top
R_D4,233.789982,-10.678328,0.0,top
R_D5,250.789982,-10.678328,0.0,top
R_D6,267.789982,-10.678328,0.0,top
R_D7,182.789982,-27.678328,0.0,top
R_D8,199.789982,-27.678328,0.0,top
R_D9,216.789982,-27.678328,0.0,top
R_J1,167.75,-38.375,0.0,top
R_RSW1,147.4,-38.3,90.0,top
R_S1,182.0,-13.0,0.0,top
R_S10,233.0,-30.0,0.0,top
R_S11,250.0,-30.0,0.0,top
R_S12,267.0,-30.0,0.0,top
R_S13,182.0,-47.0,0.0,top
R_S14,199.0,-47.0,0.0,top
R_S15,216.0,-47.0,0.0,top
R_S16,233.0,-47.0,0.0,top
R_S17,250.0,-47.0,0.0,top
R_S18,267.0,-47.0,0.0,top
R_S19,182.0,-64.0,0.0,top
R_S2,199.0,-13.0,0.0,top
R_S20,199.0,-64.0,0.0,top
R_S21,216.0,-64.0,0.0,top
R_S22,233.0,-64.0,0.0,top
R_S23,250.0,-64.0,0.0,top
R_S24,267.0,-64.0,0.0,top
R_S25,182.0,-81.0,0.0,top
R_S26,199.0,-81.0,0.0,top
R_S27,216.0,-81.0,0.0,top
R_S28,233.0,-81.0,0.0,top
R_S29,250.0,-81.0,0.0,top
R_S3,216.0,-13.0,0.0,top
R_S30,267.0,-81.0,0.0,top
R_S4,233.0,-13.0,0.0,top
R_S5,250.0,-13.0,0.0,top
R_S6,267.0,-13.0,0.0,top
R_S7,182.0,-30.0,0.0,top
R_S8,199.0,-30.0,0.0,top
R_S9,216.0,-30.0,0.0,top
R_SW1,158.0,-89.0,0.0,top
R_U1,158.0,-17.65,0.0,top
